,z,CSFHQ50,CSFHQ16,CSFHQ84,CSFHQ05,CSFHQ95,CAGNHQ50,CAGNHQ16,CAGNHQ84,CAGNHQ05,CAGNHQ95,CSMHQ50,CSMHQ16,CSMHQ84,CSMHQ05,CSMHQ95,CSMH_R041_Q50,CSMH_R041_Q16,CSMH_R041_Q84,CSMH_R041_Q05,CSMH_R041_Q95,CSFHERR,CAGNHERR,CSMHERR,CSMH_R041_ERR
106,10.600000000000001,-2.299809020809856,-2.5222932093449666,-2.1011068322034947,-2.6699867853323416,-1.9725403698555342,39.79795688837882,39.52167483843796,40.06704084940302,39.30208093897463,40.25336767960561,5.593337363556236,5.299958467612189,5.878128250478282,5.132162487116956,6.060115938942337,5.49817236208937,5.201880591232921,5.774889232583166,5.012674915346926,5.947337351643129,0.21059318857073595,0.27268300548253066,0.2890848914330464,0.2865043206751223
107,10.700000000000001,-2.3134309053035005,-2.540238452363524,-2.112181592364065,-2.6900960170292474,-1.9819744211429802,39.77275567215598,39.490327328832734,40.04717362707307,39.26589758848264,40.23704310112289,5.571239360228392,5.272771994273392,5.860288163182487,5.103787182231885,6.04422052530037,5.475431805118795,5.174933963748585,5.756290400103064,4.983565723028459,5.93068533383532,0.21402842999972949,0.27842314912016874,0.2937580844545473,0.2906782181772396
108,10.8,-2.327981816911362,-2.5586827922868594,-2.1224827028031372,-2.7102434340177806,-1.9906016193933707,39.74681879768447,39.45835032111063,40.02726072278469,39.23050739595108,40.220016452115146,5.549455577752385,5.245603425678751,5.842478521251456,5.075424550018264,6.028345813635383,5.45274172441772,5.148300168026612,5.737450008332797,4.954444940108868,5.914114856035512,0.21810004474186107,0.28445520083703,0.29843754778635256,0.2945749201530923
109,10.9,-2.3421414407300545,-2.5767246910480486,-2.1342957303704106,-2.7304287138665444,-2.0001688253284073,39.72072049171305,39.42576253140766,40.00730250783678,39.195801697197474,40.20297721620233,5.527640525025454,5.218465988417353,5.8239907734746,5.047094235252571,6.010954865267416,5.429610310871661,5.120892092174541,5.718099689460523,4.924023790219665,5.897605042902127,0.22121448033881896,0.29076998821456,0.30276239252862336,0.2986037986429908
110,11.0,-2.356863264932487,-2.5955686510006233,-2.145185798337317,-2.750651539984799,-2.0103067324890107,39.694501326877365,39.39479235504072,39.986438773253546,39.15829799272033,40.18867699396714,5.506187106866349,5.191446716724223,5.806424522413066,5.018782617797561,5.995438407225771,5.407185051624511,5.093876174262208,5.6995207241825785,4.893591780176497,5.881126905160106,0.22519142633165323,0.2958232091064126,0.30748890284442165,0.3028222749601852
111,11.100000000000001,-2.371488334550952,-2.613845279314946,-2.155904085589943,-2.771832780108272,-2.0191000611911067,39.669901757675376,39.362531697312235,39.96646960840874,39.12245075580026,40.17206132852678,5.4849115751868815,5.164677876177839,5.788871453220409,4.990493112678992,5.979917309045107,5.384322981633246,5.066222199632428,5.680176821255469,4.864496810016288,5.864193548053831,0.22897059686250132,0.30196895554825076,0.3120967885212851,0.3069773108115208
112,11.200000000000001,-2.386284585531233,-2.632576992146795,-2.1667519403709177,-2.7936734580164844,-2.0285348297811963,39.64363116339533,39.330524394574354,39.94652924947494,39.08316249634991,40.15572899939354,5.463565408092258,5.138496954273002,5.771337953912725,4.9622267128059185,5.964395355980555,5.361506918876122,5.039188817737083,5.661979493376057,4.833600527013784,5.846998706377551,0.23291252588793876,0.30800242745029394,0.3164204998198614,0.31139533781948714
113,11.3,-2.4008949708967533,-2.6513766285385088,-2.177759656578484,-2.8141194372490963,-2.037785919751123,39.61706310955791,39.29790090095324,39.92564781734884,39.04728307675257,40.13966987270345,5.442218842927965,5.112345178959451,5.753824895547241,4.933977051369793,5.9488758133606074,5.338950369421392,5.012343619229642,5.643012147098566,4.802417586777189,5.829891679278655,0.23680848598001236,0.31387345819780066,0.32073985829389473,0.31533426393446184
114,11.4,-2.4153878395677406,-2.6702145943701865,-2.1886206254912732,-2.83451282811518,-2.0471025862802943,39.59151902059641,39.264831472568545,39.905175446140305,39.01146229788979,40.12200358446573,5.420583750850991,5.085883585526807,5.736214320185558,4.903538622456339,5.93336018813713,5.315952363801944,4.985396803257836,5.624826657685413,4.771702290580598,5.813385784211407,0.24079698443945663,0.3201719867858799,0.3251653673293755,0.3197149272137887
115,11.5,-2.4298880858113767,-2.688153553361824,-2.199540920921117,-2.854939219312609,-2.056173713417043,39.56633837990151,39.232933671382014,39.885498517817524,38.97422431237535,40.10548331857195,5.398867997642294,5.059290725196251,5.718122571502565,4.872652149321835,5.917851925359323,5.2928826423278,4.959042906752671,5.606699511431294,4.741461437518011,5.796901707204325,0.2443063162203536,0.326282423217755,0.32941592315315704,0.32382830233931115
