#Growth history of baryons in galaxies
#rho values are in Msun/cMpc^3
#redshift rho_atom rho_mol rho_z_cold rho_star rho_BH
1.3194437 653397.0732478696 200025.4431175343 7872.524848884604 1014533.9659832373 2209.00294850443
1.2799588 662157.9265009275 193084.13266734814 7980.8655204291745 1038019.7052616455 2238.4996574923516
1.2411463 667264.7488804826 187708.03418722152 8043.416169057944 1062946.1822870274 2273.243485819046
1.2029943 672067.1615871232 183847.83526103976 8109.469614817788 1085318.44686119 2296.331736279516
1.1654919 677578.8648568837 177632.7812140638 8185.361375316879 1107872.3539204267 2320.2835745641432
1.128628 684273.2300145022 172653.39424118315 8286.121090273342 1129902.30567174 2342.5613098842605
1.0923915 689262.5804992224 167173.4975669104 8341.26170357261 1151593.288995786 2364.603075887156
1.056772 695238.3186560534 159944.76070262695 8334.971910122793 1176339.7260589774 2406.8973780297238
1.0217587 702280.570629159 155647.8046158443 8388.947101719245 1195746.4175252744 2427.2209499154105
0.9873415 705979.0540939458 151787.98890165635 8452.032831867804 1219739.6688333256 2477.2494390100965
0.9535103 705249.2791078831 145383.83715445377 8346.591289696986 1244493.9094862093 2522.210711555726
0.92025495 706906.6361437311 137857.7800391415 8275.849484700164 1267683.948455199 2560.2630093404896
0.8875657 712466.3454250818 132710.3894444217 8262.455027978429 1289202.207682391 2587.6297346184037
0.8554329 713559.7537558323 127871.25806128173 8223.623242160767 1311164.8534726065 2621.9277524011427
0.8238472 715532.8774745938 120125.5856360526 8124.081749423318 1335945.9886399661 2678.6600018793188
0.7927991 722180.8391435053 117850.41248188395 8116.590608146262 1354850.8814190738 2703.0190029073874
0.7622796 724257.3604256922 115015.95884145172 8119.74285339662 1374604.1358776065 2727.6131567498496
0.73227966 724908.2634159344 110844.95756954922 8100.830470564906 1394135.1273797194 2752.161042098739
0.70279044 727295.7438123848 106861.26857835668 8085.166680317226 1415777.8259925435 2798.08633231634
0.67380315 729227.8986852608 102978.31208535969 8042.610552934558 1434983.4356744434 2834.6999521185962
0.6453094 732666.216043693 100044.38880443886 8038.419171752074 1452957.4716830913 2858.6321943353573
0.6173006 736599.1555737939 98695.26485208026 8083.070445390766 1468142.4211257577 2876.7522972565384
0.5897687 737273.6086829295 94701.83879249911 8068.201384562101 1487137.1945361448 2905.099642430588
0.56270546 741851.0411117396 92770.07584098048 8128.4364311713525 1503984.1692334933 2922.374120589823
0.53610295 744222.8446538971 90069.39802384788 8160.5538420687635 1521159.8701466373 2943.3361976868155
0.50995326 746549.429180783 87945.36716379003 8166.14906377977 1538371.6626621091 2967.1682822233715
0.48424876 748900.8876498138 85980.36928117038 8144.947751354244 1555976.8397079713 2991.5329987712344
0.45898184 749611.502036185 84488.42918620324 8131.615348847418 1573028.7979845633 3016.496484059452
0.43414503 753306.7804552052 82225.10947575275 8161.240793114516 1589912.2823336872 3037.638736113769
0.40973103 756662.5330476947 79816.02985783205 8189.984414327637 1606513.0259062748 3059.1451484292656
0.38573262 759836.9915296499 77928.8414286863 8198.120048503402 1623686.3578725478 3086.6495905174615
0.36214277 763248.9020979621 76842.47897300411 8230.978843968416 1641036.803454877 3108.203359996968
0.3389545 766864.6814469901 74474.42916651338 8241.532959519996 1657285.5493924075 3129.1512843782793
0.31616095 771652.6714476811 74388.95547316295 8297.784561000233 1672770.9370382344 3146.5632071801865
0.29375544 771569.6189573826 73277.34457270565 8324.368804401547 1689413.4855556032 3169.166999296188
0.27173135 777565.9112120643 69898.20298454752 8398.16378563896 1704600.5252455089 3184.305233890402
0.2500822 781510.9741761518 68975.02787269118 8428.591580018134 1720357.5056825972 3201.16737812162
0.22880156 784927.9710127456 68470.9037854482 8487.218660391924 1736073.5172738 3217.783755001683
0.2078832 789712.4772680382 66278.48700321921 8545.909427986278 1751190.882055737 3233.1770106457666
0.18732093 792880.7346831843 66019.80584334071 8596.553832380701 1768192.116999328 3253.841336378237
0.16710871 796911.5674589811 65675.38970920691 8654.602284417222 1784432.3625980862 3272.069217672682
0.1472406 800236.9417915962 64248.98757454768 8715.844351180705 1798745.4002424343 3288.8886315892473
0.12771067 806958.7588629544 63420.58340157382 8817.973069211706 1812728.4575226433 3301.8952494677987
0.10851322 807412.1334891059 62187.420269483635 8855.178381396476 1831530.9281870371 3355.821995229804
0.08964258 807472.4719594066 60938.99397786659 8843.800686659299 1848619.2567655887 3389.8282493354245
0.07109317 811284.8042238139 59559.53966713293 8888.031733509306 1864061.0279190273 3413.960262577377
0.05285954 810402.5805391162 58006.52951533135 8866.482590879155 1879593.9338520889 3441.5801037318956
0.03493631 808625.4523364702 57800.89273382566 8859.361597550682 1896702.8862033992 3468.311589809815
0.0173182 808292.4062763805 56630.81152153751 8862.367416627263 1913831.9049282041 3498.7668731175227
0.0 806810.3513089814 55394.58704817845 8810.786755657013 1929975.9991539659 3525.393030330662
